implementation_step,path,status
STEP5,rtl/pkg/rv32i_pkg.sv,IMPLEMENTED
STEP5,rtl/pkg/rv32i_encoding_pkg.sv,IMPLEMENTED
STEP6,rtl/pkg/rv32i_csr_pkg.sv,IMPLEMENTED
STEP5,rtl/pkg/rv32i_types_pkg.sv,IMPLEMENTED
STEP5,rtl/core/rv32i_core.sv,IMPLEMENTED
STEP5,rtl/core/rv32i_datapath.sv,IMPLEMENTED
STEP5,rtl/core/rv32i_control.sv,PLACEHOLDER
STEP5,rtl/frontend/rv32i_fetch_unit.sv,IMPLEMENTED
STEP5,rtl/frontend/rv32i_pc.sv,IMPLEMENTED
STEP5,rtl/frontend/rv32i_fetch_buffer.sv,IMPLEMENTED
STEP7,rtl/frontend/rv32i_bpu.sv,PLACEHOLDER
STEP7,rtl/frontend/rv32i_btb.sv,PLACEHOLDER
STEP7,rtl/frontend/rv32i_pht.sv,PLACEHOLDER
STEP7,rtl/frontend/rv32i_ghr.sv,PLACEHOLDER
STEP7,rtl/frontend/rv32i_ras.sv,PLACEHOLDER
STEP5,rtl/decode/rv32i_decoder.sv,IMPLEMENTED
STEP5,rtl/decode/rv32i_alu_decoder.sv,IMPLEMENTED
STEP5,rtl/decode/rv32i_imm_gen.sv,IMPLEMENTED
STEP5,rtl/decode/rv32i_regfile.sv,IMPLEMENTED
STEP5,rtl/decode/rv32i_illegal_detect.sv,IMPLEMENTED
STEP5,rtl/execute/rv32i_alu.sv,IMPLEMENTED
STEP5,rtl/execute/rv32i_branch_compare.sv,IMPLEMENTED
STEP5,rtl/execute/rv32i_target_generator.sv,IMPLEMENTED
STEP5,rtl/execute/rv32i_operand_mux.sv,IMPLEMENTED
STEP6,rtl/memory/rv32i_lsu.sv,IMPLEMENTED
STEP6,rtl/memory/rv32i_load_aligner.sv,IMPLEMENTED
STEP6,rtl/memory/rv32i_store_aligner.sv,IMPLEMENTED
STEP6,rtl/memory/rv32i_misaligned_detect.sv,IMPLEMENTED
STEP6,rtl/memory/rv32i_memory_controller.sv,IMPLEMENTED
STEP6,rtl/memory/rv32i_fence_controller.sv,PLACEHOLDER
STEP5,rtl/pipeline/rv32i_if_id.sv,IMPLEMENTED
STEP5,rtl/pipeline/rv32i_id_ex.sv,IMPLEMENTED
STEP5,rtl/pipeline/rv32i_ex_mem.sv,IMPLEMENTED
STEP5,rtl/pipeline/rv32i_mem_wb.sv,IMPLEMENTED
STEP6,rtl/control/rv32i_hazard_unit.sv,IMPLEMENTED
STEP6,rtl/control/rv32i_forwarding_unit.sv,IMPLEMENTED
STEP6,rtl/control/rv32i_stall_controller.sv,PLACEHOLDER
STEP6,rtl/control/rv32i_flush_kill_controller.sv,PLACEHOLDER
STEP6,rtl/control/rv32i_redirect_arbiter.sv,PLACEHOLDER
STEP6,rtl/commit/rv32i_writeback.sv,PLACEHOLDER
STEP6,rtl/commit/rv32i_commit.sv,PLACEHOLDER
STEP6,rtl/commit/rv32i_retirement.sv,PLACEHOLDER
STEP8,rtl/commit/rv32i_rvfi_adapter.sv,PLACEHOLDER
STEP6,rtl/trap/rv32i_exception_detect.sv,PLACEHOLDER
STEP6,rtl/trap/rv32i_trap_arbiter.sv,PLACEHOLDER
STEP6,rtl/trap/rv32i_trap_controller.sv,PLACEHOLDER
STEP6,rtl/trap/rv32i_csr_file.sv,IMPLEMENTED
STEP6,rtl/trap/rv32i_interrupt_controller.sv,PLACEHOLDER
STEP6,rtl/trap/rv32i_machine_mode.sv,PLACEHOLDER
STEP5,rtl/infrastructure/rv32i_reset_controller.sv,PLACEHOLDER
STEP6,rtl/infrastructure/rv32i_clock_enable.sv,PLACEHOLDER
STEP9,rtl/infrastructure/rv32i_dft_wrapper.sv,PLACEHOLDER
STEP5,rtl/soc/rv32i_soc.sv,PLACEHOLDER
STEP5,rtl/soc/rv32i_imem_wrapper.sv,PLACEHOLDER
STEP5,rtl/soc/rv32i_dmem_wrapper.sv,PLACEHOLDER
STEP5,rtl/soc/rv32i_address_decoder.sv,PLACEHOLDER
STEP5,rtl/soc/rv32i_boot_controller.sv,PLACEHOLDER
STEP_06F,rtl/trap/rv32i_trap_redirect.sv,IMPLEMENTED
STEP_07A,rtl/predict/rv32i_ghr.sv,IMPLEMENTED
STEP_07A,rtl/predict/rv32i_pht.sv,IMPLEMENTED
STEP_07A,rtl/predict/rv32i_btb.sv,IMPLEMENTED
STEP_07A,rtl/predict/rv32i_branch_predictor.sv,IMPLEMENTED
