metric,value,unit,source
clock_period,20.0,ns,CLOCK_PERIOD
target_frequency,50.0,MHz,CLOCK_PERIOD
standard_cell_instance_count,39789.0,count,design__instance__count__stdcell
total_cell_area,363761.0,um^2,design__instance__area__stdcell
core_area,924423.0,um^2,design__core__area
core_area,0.924423,mm^2,design__core__area
utilization,39.3501,%,design__instance__utilization__stdcell
setup_wns[max_ff_n40C_1v95],0.0,ns,timing__setup__wns__corner:max_ff_n40C_1v95
setup_wns[max_ss_100C_1v60],0.0,ns,timing__setup__wns__corner:max_ss_100C_1v60
setup_wns[max_tt_025C_1v80],0.0,ns,timing__setup__wns__corner:max_tt_025C_1v80
setup_wns[min_ff_n40C_1v95],0.0,ns,timing__setup__wns__corner:min_ff_n40C_1v95
setup_wns[min_ss_100C_1v60],0.0,ns,timing__setup__wns__corner:min_ss_100C_1v60
setup_wns[min_tt_025C_1v80],0.0,ns,timing__setup__wns__corner:min_tt_025C_1v80
setup_wns[nom_ff_n40C_1v95],0.0,ns,timing__setup__wns__corner:nom_ff_n40C_1v95
setup_wns[nom_ss_100C_1v60],0.0,ns,timing__setup__wns__corner:nom_ss_100C_1v60
setup_wns[nom_tt_025C_1v80],0.0,ns,timing__setup__wns__corner:nom_tt_025C_1v80
hold_wns[max_ff_n40C_1v95],0.0,ns,timing__hold__wns__corner:max_ff_n40C_1v95
hold_wns[max_ss_100C_1v60],0.0,ns,timing__hold__wns__corner:max_ss_100C_1v60
hold_wns[max_tt_025C_1v80],0.0,ns,timing__hold__wns__corner:max_tt_025C_1v80
hold_wns[min_ff_n40C_1v95],0.0,ns,timing__hold__wns__corner:min_ff_n40C_1v95
hold_wns[min_ss_100C_1v60],0.0,ns,timing__hold__wns__corner:min_ss_100C_1v60
hold_wns[min_tt_025C_1v80],0.0,ns,timing__hold__wns__corner:min_tt_025C_1v80
hold_wns[nom_ff_n40C_1v95],0.0,ns,timing__hold__wns__corner:nom_ff_n40C_1v95
hold_wns[nom_ss_100C_1v60],0.0,ns,timing__hold__wns__corner:nom_ss_100C_1v60
hold_wns[nom_tt_025C_1v80],0.0,ns,timing__hold__wns__corner:nom_tt_025C_1v80
worst_setup_wns,0.0,ns,max_ff_n40C_1v95
worst_hold_wns,0.0,ns,max_ff_n40C_1v95
